OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
?,851,851,851,851,851,851,851,851,851,851
?,421,421,421,421,421,421,421,421,421,421
?,616,616,616,616,616,616,616,616,616,616
?,147,147,147,147,147,147,147,147,147,147
?,814,814,814,814,814,814,814,814,814,814
?,597,597,597,597,597,597,597,597,597,597
?,841,841,841,841,841,841,841,841,841,841
?,786,786,786,786,786,786,786,786,786,786
?,187,187,187,187,187,187,187,187,187,187
?,639,639,639,639,639,639,639,639,639,639
?,676,676,676,676,676,676,676,676,676,676
?,524,524,524,524,524,524,524,524,524,524
?,271,271,271,271,271,271,271,271,271,271
?,172,172,172,172,172,172,172,172,172,172
?,742,742,742,742,742,742,742,742,742,742
?,703,703,703,703,703,703,703,703,703,703
?,351,351,351,351,351,351,351,351,351,351
?,945,945,945,945,945,945,945,945,945,945
?,465,465,465,465,465,465,465,465,465,465
?,611,611,611,611,611,611,611,611,611,611
?,605,605,605,605,605,605,605,605,605,605
?,71,71,71,71,71,71,71,71,71,71
?,236,236,236,236,236,236,236,236,236,236
?,388,388,388,388,388,388,388,388,388,388
?,395,395,395,395,395,395,395,395,395,395
?,136,136,136,136,136,136,136,136,136,136
?,112,112,112,112,112,112,112,112,112,112
?,17,17,17,17,17,17,17,17,17,17
?,208,208,208,208,208,208,208,208,208,208
?,536,536,536,536,536,536,536,536,536,536
?,881,881,881,881,881,881,881,881,881,881
?,932,932,932,932,932,932,932,932,932,932
?,517,517,517,517,517,517,517,517,517,517
?,701,701,701,701,701,701,701,701,701,701
?,430,430,430,430,430,430,430,430,430,430
?,847,847,847,847,847,847,847,847,847,847
?,154,154,154,154,154,154,154,154,154,154
?,621,621,621,621,621,621,621,621,621,621
?,99,99,99,99,99,99,99,99,99,99
?,182,182,182,182,182,182,182,182,182,182
?,488,488,488,488,488,488,488,488,488,488
?,924,924,924,924,924,924,924,924,924,924
?,630,630,630,630,630,630,630,630,630,630
?,615,615,615,615,615,615,615,615,615,615
?,40,40,40,40,40,40,40,40,40,40
?,899,899,899,899,899,899,899,899,899,899
?,803,803,803,803,803,803,803,803,803,803
?,545,545,545,545,545,545,545,545,545,545
?,516,516,516,516,516,516,516,516,516,516
?,771,771,771,771,771,771,771,771,771,771
?,121,121,121,121,121,121,121,121,121,121
?,96,96,96,96,96,96,96,96,96,96
?,494,494,494,494,494,494,494,494,494,494
?,676,676,676,676,676,676,676,676,676,676
?,134,134,134,134,134,134,134,134,134,134
?,924,924,924,924,924,924,924,924,924,924
?,618,618,618,618,618,618,618,618,618,618
?,553,553,553,553,553,553,553,553,553,553
?,848,848,848,848,848,848,848,848,848,848
?,2,2,2,2,2,2,2,2,2,2
?,919,919,919,919,919,919,919,919,919,919
?,961,961,961,961,961,961,961,961,961,961
?,794,794,794,794,794,794,794,794,794,794
?,695,695,695,695,695,695,695,695,695,695
?,665,665,665,665,665,665,665,665,665,665
?,442,442,442,442,442,442,442,442,442,442
?,535,535,535,535,535,535,535,535,535,535
?,431,431,431,431,431,431,431,431,431,431
?,380,380,380,380,380,380,380,380,380,380
?,896,896,896,896,896,896,896,896,896,896
?,45,45,45,45,45,45,45,45,45,45
?,715,715,715,715,715,715,715,715,715,715
?,543,543,543,543,543,543,543,543,543,543
?,440,440,440,440,440,440,440,440,440,440
?,235,235,235,235,235,235,235,235,235,235
?,961,961,961,961,961,961,961,961,961,961
?,822,822,822,822,822,822,822,822,822,822
?,494,494,494,494,494,494,494,494,494,494
?,809,809,809,809,809,809,809,809,809,809
?,788,788,788,788,788,788,788,788,788,788
?,391,391,391,391,391,391,391,391,391,391
?,359,359,359,359,359,359,359,359,359,359
?,604,604,604,604,604,604,604,604,604,604
?,824,824,824,824,824,824,824,824,824,824
?,760,760,760,760,760,760,760,760,760,760
?,930,930,930,930,930,930,930,930,930,930
?,780,780,780,780,780,780,780,780,780,780
?,858,858,858,858,858,858,858,858,858,858
?,714,714,714,714,714,714,714,714,714,714
?,590,590,590,590,590,590,590,590,590,590
?,101,101,101,101,101,101,101,101,101,101
?,436,436,436,436,436,436,436,436,436,436
?,138,138,138,138,138,138,138,138,138,138
?,261,261,261,261,261,261,261,261,261,261
?,489,489,489,489,489,489,489,489,489,489
?,785,785,785,785,785,785,785,785,785,785
?,239,239,239,239,239,239,239,239,239,239
?,932,932,932,932,932,932,932,932,932,932
?,880,880,880,880,880,880,880,880,880,880
?,86,86,86,86,86,86,86,86,86,86
?,291,291,291,291,291,291,291,291,291,291
?,613,613,613,613,613,613,613,613,613,613
?,898,898,898,898,898,898,898,898,898,898
?,557,557,557,557,557,557,557,557,557,557
?,419,419,419,419,419,419,419,419,419,419
?,264,264,264,264,264,264,264,264,264,264
?,194,194,194,194,194,194,194,194,194,194
?,6,6,6,6,6,6,6,6,6,6
?,727,727,727,727,727,727,727,727,727,727
?,762,762,762,762,762,762,762,762,762,762
?,809,809,809,809,809,809,809,809,809,809
?,8,8,8,8,8,8,8,8,8,8
?,592,592,592,592,592,592,592,592,592,592
?,536,536,536,536,536,536,536,536,536,536
?,121,121,121,121,121,121,121,121,121,121
?,533,533,533,533,533,533,533,533,533,533
?,8,8,8,8,8,8,8,8,8,8
?,385,385,385,385,385,385,385,385,385,385
?,671,671,671,671,671,671,671,671,671,671
?,211,211,211,211,211,211,211,211,211,211
?,705,705,705,705,705,705,705,705,705,705
?,824,824,824,824,824,824,824,824,824,824
?,324,324,324,324,324,324,324,324,324,324
?,419,419,419,419,419,419,419,419,419,419
?,371,371,371,371,371,371,371,371,371,371
?,110,110,110,110,110,110,110,110,110,110
?,159,159,159,159,159,159,159,159,159,159
?,437,437,437,437,437,437,437,437,437,437
?,668,668,668,668,668,668,668,668,668,668
?,600,600,600,600,600,600,600,600,600,600
?,260,260,260,260,260,260,260,260,260,260
?,268,268,268,268,268,268,268,268,268,268
?,876,876,876,876,876,876,876,876,876,876
?,549,549,549,549,549,549,549,549,549,549
?,434,434,434,434,434,434,434,434,434,434
?,579,579,579,579,579,579,579,579,579,579
?,375,375,375,375,375,375,375,375,375,375
?,627,627,627,627,627,627,627,627,627,627
?,283,283,283,283,283,283,283,283,283,283
?,697,697,697,697,697,697,697,697,697,697
?,407,407,407,407,407,407,407,407,407,407
?,774,774,774,774,774,774,774,774,774,774
?,209,209,209,209,209,209,209,209,209,209
?,424,424,424,424,424,424,424,424,424,424
?,566,566,566,566,566,566,566,566,566,566
?,803,803,803,803,803,803,803,803,803,803
?,571,571,571,571,571,571,571,571,571,571
?,495,495,495,495,495,495,495,495,495,495
?,184,184,184,184,184,184,184,184,184,184
?,380,380,380,380,380,380,380,380,380,380
?,573,573,573,573,573,573,573,573,573,573
?,569,569,569,569,569,569,569,569,569,569
?,496,496,496,496,496,496,496,496,496,496
?,260,260,260,260,260,260,260,260,260,260
?,315,315,315,315,315,315,315,315,315,315
?,592,592,592,592,592,592,592,592,592,592
?,353,353,353,353,353,353,353,353,353,353
?,793,793,793,793,793,793,793,793,793,793
?,723,723,723,723,723,723,723,723,723,723
?,408,408,408,408,408,408,408,408,408,408
?,754,754,754,754,754,754,754,754,754,754
?,142,142,142,142,142,142,142,142,142,142
?,876,876,876,876,876,876,876,876,876,876
?,885,885,885,885,885,885,885,885,885,885
?,676,676,676,676,676,676,676,676,676,676
?,122,122,122,122,122,122,122,122,122,122
?,766,766,766,766,766,766,766,766,766,766
?,236,236,236,236,236,236,236,236,236,236
?,458,458,458,458,458,458,458,458,458,458
?,802,802,802,802,802,802,802,802,802,802
?,717,717,717,717,717,717,717,717,717,717
?,973,973,973,973,973,973,973,973,973,973
?,166,166,166,166,166,166,166,166,166,166
?,103,103,103,103,103,103,103,103,103,103
?,220,220,220,220,220,220,220,220,220,220
?,521,521,521,521,521,521,521,521,521,521
?,411,411,411,411,411,411,411,411,411,411
?,805,805,805,805,805,805,805,805,805,805
?,347,347,347,347,347,347,347,347,347,347
?,821,821,821,821,821,821,821,821,821,821
?,564,564,564,564,564,564,564,564,564,564
?,629,629,629,629,629,629,629,629,629,629
?,714,714,714,714,714,714,714,714,714,714
?,701,701,701,701,701,701,701,701,701,701
?,724,724,724,724,724,724,724,724,724,724
?,54,54,54,54,54,54,54,54,54,54
?,165,165,165,165,165,165,165,165,165,165
?,399,399,399,399,399,399,399,399,399,399
?,652,652,652,652,652,652,652,652,652,652
?,6,6,6,6,6,6,6,6,6,6
?,824,824,824,824,824,824,824,824,824,824
?,94,94,94,94,94,94,94,94,94,94
?,844,844,844,844,844,844,844,844,844,844
?,149,149,149,149,149,149,149,149,149,149
?,483,483,483,483,483,483,483,483,483,483
?,949,949,949,949,949,949,949,949,949,949
?,615,615,615,615,615,615,615,615,615,615
?,446,446,446,446,446,446,446,446,446,446
?,91,91,91,91,91,91,91,91,91,91
?,66,66,66,66,66,66,66,66,66,66
?,270,270,270,270,270,270,270,270,270,270
?,228,228,228,228,228,228,228,228,228,228
?,380,380,380,380,380,380,380,380,380,380
?,82,82,82,82,82,82,82,82,82,82
?,624,624,624,624,624,624,624,624,624,624
?,39,39,39,39,39,39,39,39,39,39
?,742,742,742,742,742,742,742,742,742,742
?,394,394,394,394,394,394,394,394,394,394
?,954,954,954,954,954,954,954,954,954,954
?,411,411,411,411,411,411,411,411,411,411
?,629,629,629,629,629,629,629,629,629,629
?,672,672,672,672,672,672,672,672,672,672
?,534,534,534,534,534,534,534,534,534,534
?,294,294,294,294,294,294,294,294,294,294
?,729,729,729,729,729,729,729,729,729,729
?,612,612,612,612,612,612,612,612,612,612
?,59,59,59,59,59,59,59,59,59,59
?,969,969,969,969,969,969,969,969,969,969
?,793,793,793,793,793,793,793,793,793,793
?,840,840,840,840,840,840,840,840,840,840
?,180,180,180,180,180,180,180,180,180,180
?,656,656,656,656,656,656,656,656,656,656
?,507,507,507,507,507,507,507,507,507,507
?,450,450,450,450,450,450,450,450,450,450
?,11,11,11,11,11,11,11,11,11,11
?,207,207,207,207,207,207,207,207,207,207
?,871,871,871,871,871,871,871,871,871,871
?,673,673,673,673,673,673,673,673,673,673
?,954,954,954,954,954,954,954,954,954,954
?,824,824,824,824,824,824,824,824,824,824
?,531,531,531,531,531,531,531,531,531,531
?,293,293,293,293,293,293,293,293,293,293
?,200,200,200,200,200,200,200,200,200,200
?,35,35,35,35,35,35,35,35,35,35
?,803,803,803,803,803,803,803,803,803,803
?,614,614,614,614,614,614,614,614,614,614
?,523,523,523,523,523,523,523,523,523,523
?,529,529,529,529,529,529,529,529,529,529
?,716,716,716,716,716,716,716,716,716,716
?,238,238,238,238,238,238,238,238,238,238
?,630,630,630,630,630,630,630,630,630,630
?,174,174,174,174,174,174,174,174,174,174
?,691,691,691,691,691,691,691,691,691,691
?,37,37,37,37,37,37,37,37,37,37
?,369,369,369,369,369,369,369,369,369,369
?,245,245,245,245,245,245,245,245,245,245
?,671,671,671,671,671,671,671,671,671,671
?,1,1,1,1,1,1,1,1,1,1
?,162,162,162,162,162,162,162,162,162,162
?,89,89,89,89,89,89,89,89,89,89
?,283,283,283,283,283,283,283,283,283,283
?,799,799,799,799,799,799,799,799,799,799
?,410,410,410,410,410,410,410,410,410,410
?,362,362,362,362,362,362,362,362,362,362
?,686,686,686,686,686,686,686,686,686,686
?,405,405,405,405,405,405,405,405,405,405
?,416,416,416,416,416,416,416,416,416,416
?,601,601,601,601,601,601,601,601,601,601
?,206,206,206,206,206,206,206,206,206,206
?,531,531,531,531,531,531,531,531,531,531
?,16,16,16,16,16,16,16,16,16,16
?,755,755,755,755,755,755,755,755,755,755
?,721,721,721,721,721,721,721,721,721,721
?,71,71,71,71,71,71,71,71,71,71
?,942,942,942,942,942,942,942,942,942,942
?,93,93,93,93,93,93,93,93,93,93
?,563,563,563,563,563,563,563,563,563,563
?,292,292,292,292,292,292,292,292,292,292
?,744,744,744,744,744,744,744,744,744,744
?,850,850,850,850,850,850,850,850,850,850
?,573,573,573,573,573,573,573,573,573,573
?,937,937,937,937,937,937,937,937,937,937
?,597,597,597,597,597,597,597,597,597,597
?,357,357,357,357,357,357,357,357,357,357
?,356,356,356,356,356,356,356,356,356,356
?,836,836,836,836,836,836,836,836,836,836
?,284,284,284,284,284,284,284,284,284,284
?,232,232,232,232,232,232,232,232,232,232
?,621,621,621,621,621,621,621,621,621,621
?,200,200,200,200,200,200,200,200,200,200
?,466,466,466,466,466,466,466,466,466,466
?,953,953,953,953,953,953,953,953,953,953
?,414,414,414,414,414,414,414,414,414,414
?,589,589,589,589,589,589,589,589,589,589
?,5,5,5,5,5,5,5,5,5,5
?,268,268,268,268,268,268,268,268,268,268
?,180,180,180,180,180,180,180,180,180,180
?,417,417,417,417,417,417,417,417,417,417
?,519,519,519,519,519,519,519,519,519,519
?,110,110,110,110,110,110,110,110,110,110
?,573,573,573,573,573,573,573,573,573,573
?,75,75,75,75,75,75,75,75,75,75
?,516,516,516,516,516,516,516,516,516,516
?,302,302,302,302,302,302,302,302,302,302
?,349,349,349,349,349,349,349,349,349,349
?,970,970,970,970,970,970,970,970,970,970
?,120,120,120,120,120,120,120,120,120,120
?,823,823,823,823,823,823,823,823,823,823
?,526,526,526,526,526,526,526,526,526,526
?,264,264,264,264,264,264,264,264,264,264
?,898,898,898,898,898,898,898,898,898,898
?,551,551,551,551,551,551,551,551,551,551
?,833,833,833,833,833,833,833,833,833,833
?,813,813,813,813,813,813,813,813,813,813
?,589,589,589,589,589,589,589,589,589,589
?,257,257,257,257,257,257,257,257,257,257
?,711,711,711,711,711,711,711,711,711,711
?,454,454,454,454,454,454,454,454,454,454
?,387,387,387,387,387,387,387,387,387,387
?,577,577,577,577,577,577,577,577,577,577
?,496,496,496,496,496,496,496,496,496,496
?,789,789,789,789,789,789,789,789,789,789
?,250,250,250,250,250,250,250,250,250,250
?,776,776,776,776,776,776,776,776,776,776
?,348,348,348,348,348,348,348,348,348,348
?,795,795,795,795,795,795,795,795,795,795
?,470,470,470,470,470,470,470,470,470,470
?,698,698,698,698,698,698,698,698,698,698
?,472,472,472,472,472,472,472,472,472,472
?,919,919,919,919,919,919,919,919,919,919
?,601,601,601,601,601,601,601,601,601,601
?,883,883,883,883,883,883,883,883,883,883
?,29,29,29,29,29,29,29,29,29,29
?,494,494,494,494,494,494,494,494,494,494
?,120,120,120,120,120,120,120,120,120,120
?,265,265,265,265,265,265,265,265,265,265
?,70,70,70,70,70,70,70,70,70,70
?,392,392,392,392,392,392,392,392,392,392
?,649,649,649,649,649,649,649,649,649,649
?,808,808,808,808,808,808,808,808,808,808
?,226,226,226,226,226,226,226,226,226,226
?,694,694,694,694,694,694,694,694,694,694
?,719,719,719,719,719,719,719,719,719,719
?,236,236,236,236,236,236,236,236,236,236
?,820,820,820,820,820,820,820,820,820,820
?,324,324,324,324,324,324,324,324,324,324
?,423,423,423,423,423,423,423,423,423,423
?,362,362,362,362,362,362,362,362,362,362
?,529,529,529,529,529,529,529,529,529,529
?,549,549,549,549,549,549,549,549,549,549
?,10,10,10,10,10,10,10,10,10,10
?,718,718,718,718,718,718,718,718,718,718
?,853,853,853,853,853,853,853,853,853,853
?,270,270,270,270,270,270,270,270,270,270
?,255,255,255,255,255,255,255,255,255,255
?,295,295,295,295,295,295,295,295,295,295
?,96,96,96,96,96,96,96,96,96,96
?,409,409,409,409,409,409,409,409,409,409
?,690,690,690,690,690,690,690,690,690,690
?,767,767,767,767,767,767,767,767,767,767
?,841,841,841,841,841,841,841,841,841,841
?,351,351,351,351,351,351,351,351,351,351
?,78,78,78,78,78,78,78,78,78,78
?,568,568,568,568,568,568,568,568,568,568
?,954,954,954,954,954,954,954,954,954,954
?,183,183,183,183,183,183,183,183,183,183
?,488,488,488,488,488,488,488,488,488,488
?,322,322,322,322,322,322,322,322,322,322
?,363,363,363,363,363,363,363,363,363,363
?,224,224,224,224,224,224,224,224,224,224
?,916,916,916,916,916,916,916,916,916,916
?,588,588,588,588,588,588,588,588,588,588
?,276,276,276,276,276,276,276,276,276,276
?,188,188,188,188,188,188,188,188,188,188
?,970,970,970,970,970,970,970,970,970,970
?,765,765,765,765,765,765,765,765,765,765
?,700,700,700,700,700,700,700,700,700,700
?,953,953,953,953,953,953,953,953,953,953
?,932,932,932,932,932,932,932,932,932,932
?,195,195,195,195,195,195,195,195,195,195
?,511,511,511,511,511,511,511,511,511,511
?,755,755,755,755,755,755,755,755,755,755
?,205,205,205,205,205,205,205,205,205,205
?,241,241,241,241,241,241,241,241,241,241
?,754,754,754,754,754,754,754,754,754,754
?,248,248,248,248,248,248,248,248,248,248
?,894,894,894,894,894,894,894,894,894,894
?,272,272,272,272,272,272,272,272,272,272
?,212,212,212,212,212,212,212,212,212,212
?,235,235,235,235,235,235,235,235,235,235
?,208,208,208,208,208,208,208,208,208,208
?,855,855,855,855,855,855,855,855,855,855
?,256,256,256,256,256,256,256,256,256,256
?,857,857,857,857,857,857,857,857,857,857
?,634,634,634,634,634,634,634,634,634,634
?,365,365,365,365,365,365,365,365,365,365
?,160,160,160,160,160,160,160,160,160,160
?,798,798,798,798,798,798,798,798,798,798
?,110,110,110,110,110,110,110,110,110,110
?,123,123,123,123,123,123,123,123,123,123
?,943,943,943,943,943,943,943,943,943,943
?,81,81,81,81,81,81,81,81,81,81
?,693,693,693,693,693,693,693,693,693,693
?,680,680,680,680,680,680,680,680,680,680
?,505,505,505,505,505,505,505,505,505,505
?,629,629,629,629,629,629,629,629,629,629
?,7,7,7,7,7,7,7,7,7,7
?,783,783,783,783,783,783,783,783,783,783
?,878,878,878,878,878,878,878,878,878,878
?,555,555,555,555,555,555,555,555,555,555
?,44,44,44,44,44,44,44,44,44,44
?,869,869,869,869,869,869,869,869,869,869
?,494,494,494,494,494,494,494,494,494,494
?,381,381,381,381,381,381,381,381,381,381
?,636,636,636,636,636,636,636,636,636,636
?,323,323,323,323,323,323,323,323,323,323
?,505,505,505,505,505,505,505,505,505,505
?,920,920,920,920,920,920,920,920,920,920
?,903,903,903,903,903,903,903,903,903,903
?,919,919,919,919,919,919,919,919,919,919
?,589,589,589,589,589,589,589,589,589,589
?,890,890,890,890,890,890,890,890,890,890
?,282,282,282,282,282,282,282,282,282,282
?,503,503,503,503,503,503,503,503,503,503
?,188,188,188,188,188,188,188,188,188,188
?,783,783,783,783,783,783,783,783,783,783
?,938,938,938,938,938,938,938,938,938,938
?,524,524,524,524,524,524,524,524,524,524
?,287,287,287,287,287,287,287,287,287,287
?,408,408,408,408,408,408,408,408,408,408
